"","Fold Change","log2(FC)"
"328.95_911.5648m/z",0.3745,-1.417
"472.68_866.7243m/z",0.375,-1.4151
"634.54_1002.8499m/z",0.37504,-1.4149
"158.87_467.3193m/z",0.37513,-1.4145
"PI(16:0/16:0)",0.37538,-1.4136
"346.52_1588.1366m/z",0.3754,-1.4135
"581.27_974.733m/z",0.37548,-1.4132
"341.95_841.5785m/z",0.37627,-1.4101
"91.46_597.3039m/z",0.37631,-1.41
"247.16_423.3261m/z",0.37631,-1.41
"328.72_912.5683m/z",0.37739,-1.4059
"603.86_850.6998m/z",0.3786,-1.4013
"588.8_793.7118m/z",0.37881,-1.4005
"130.58_278.2202m/z",0.37924,-1.3988
"370.35_1593.1709m/z",0.37951,-1.3978
"371.04_920.6127m/z",2.6294,1.3947
"V3FC",0.38063,-1.3935
"346.74_1614.1429m/z",0.38293,-1.3849
"341.72_840.5753m/z",0.38369,-1.382
"328.72_1094.4497m/z",0.38393,-1.3811
"LPI(16:0/0:0)",0.38408,-1.3805
"701.73_993.8838m/z",2.5962,1.3764
"111.99_1088.6357m/z",0.38552,-1.3751
"420.78_550.4919m/z",0.38675,-1.3705
"347.2_1538.1219m/z",0.38787,-1.3663
"341.72_878.531m/z",0.38891,-1.3625
"77.08_293.1785m/z",0.38898,-1.3622
"533.48_684.6141m/z",0.38907,-1.3619
"TG(60:2)",2.5693,1.3614
"513.17_740.6231m/z",0.38997,-1.3586
"82.56_600.3302m/z",0.39063,-1.3561
"507.92_871.706m/z",0.39087,-1.3553
"LPA(0:0/20:4)",0.39101,-1.3547
"TG(46:2)",0.39132,-1.3536
"625.41_949.679m/z",0.39144,-1.3531
"353.36_759.5811m/z",0.39175,-1.352
"565.76_815.6953m/z",0.39177,-1.3519
"623.13_818.6733m/z",0.39183,-1.3517
"625.41_525.4791m/z",0.39229,-1.35
"583.32_939.692m/z",0.39308,-1.3471
"346.52_1589.14m/z",0.39386,-1.3442
"586.52_772.6511m/z",0.39441,-1.3422
"701.73_1009.8592m/z",2.5354,1.3422
"701.73_994.8874m/z",2.5351,1.342
"356.1_866.5856m/z",0.39466,-1.3413
"701.73_988.9284m/z",2.5321,1.3403
"338.3_714.5102m/z",0.39504,-1.3399
"Eicosapentaenoic acid FA(20:5)",0.3956,-1.3379
"588.57_794.7153m/z",0.39675,-1.3337
"593.13_915.691m/z",0.39749,-1.331
"576.48_658.5683m/z",0.39804,-1.329
"579.67_893.7434m/z",0.39845,-1.3275
"370.35_1592.1675m/z",0.39962,-1.3233
"IDPL",0.40019,-1.3212
"Octadecatrienoic acid FA(18:3)_1",0.40089,-1.3187
"130.58_277.2168m/z",0.40095,-1.3185
