"","Fold Change","log2(FC)"
"184.08_521.3297m/z",0.52005,-0.94328
"141.53_254.2202m/z",0.52009,-0.94317
"250.12_388.2736m/z",1.9116,0.9348
"541.92_737.6484m/z",1.91,0.93359
"LPG(18:2/0:0)",0.52424,-0.93169
"72.06_679.2169m/z",1.9065,0.93091
"483.63_268.2191m/z",1.9064,0.93082
"626.55_521.4572m/z",1.9055,0.93016
"384.5_880.5462m/z",0.52491,-0.92985
"420.09_856.6119m/z",0.52532,-0.92874
"110.96_654.3045m/z",0.52623,-0.92623
"283.44_431.3827m/z",0.5266,-0.92523
"344.92_690.5432m/z",1.899,0.92522
"111.99_1087.6325m/z",0.5274,-0.92302
"541.69_714.5785m/z",1.8934,0.92095
"Hexadecenoic acid FA(16:1)",0.52818,-0.9209
"81.87_451.1883m/z",0.52893,-0.91886
"603.86_790.6391m/z",1.8867,0.9159
"184.31_508.3538m/z",0.53082,-0.91369
"97.16_509.2881m/z",0.53103,-0.91313
"409.6_1627.2389m/z",0.53272,-0.90854
"157.27_501.3043m/z",0.53281,-0.9083
"141.53_253.2167m/z",0.53324,-0.90713
"412.33_933.581m/z",0.53325,-0.90712
"421.69_896.6371m/z",0.53396,-0.9052
"439.14_752.5595m/z",0.53481,-0.9029
"421.46_897.6403m/z",0.53556,-0.90088
"157.27_502.3085m/z",0.53649,-0.89839
"329.18_1125.4655m/z",0.5365,-0.89834
"347.66_829.5192m/z",0.53653,-0.89827
"72.06_584.2618m/z",1.8638,0.89827
"347.2_791.5603m/z",0.53667,-0.89789
"L4TG",0.53667,-0.89788
"377.88_906.5619m/z",0.53694,-0.89715
"168.0_493.3351m/z",0.53727,-0.89628
"Octadecatetraenoic acid FA(18:4)",0.53735,-0.89606
"347.66_828.5161m/z",0.53773,-0.89505
"682.11_947.8826m/z",1.8585,0.89411
"431.61_754.5761m/z",1.8572,0.89315
"581.27_805.7121m/z",1.8562,0.89239
"409.6_1624.2298m/z",0.53912,-0.89133
"347.88_926.4922m/z",0.53944,-0.89046
"347.88_1046.4499m/z",0.53953,-0.89024
"167.77_255.3493m/z",0.53973,-0.88968
"408.91_856.6079m/z",0.54,-0.88897
"90.32_303.2299m/z",0.54025,-0.88831
"384.5_768.5533m/z",0.54048,-0.88767
"90.09_553.3334m/z",0.54061,-0.88734
"669.1_945.8682m/z",1.8471,0.88524
"384.5_881.5492m/z",0.54182,-0.8841
"346.74_1614.1429m/z",1.8452,0.88376
"111.99_1050.6804m/z",0.54198,-0.88369
"100.36_526.3319m/z",0.54223,-0.88303
"577.85_779.6945m/z",1.844,0.88282
"606.7_495.441m/z",1.8433,0.88226
"409.6_1626.2363m/z",0.54269,-0.8818
"364.42_793.5576m/z",0.54279,-0.88154
"386.55_749.5312m/z",0.5428,-0.8815
"413.47_750.5436m/z",0.54385,-0.87871
"LPI(16:0/0:0)",0.54422,-0.87773
"347.43_777.5474m/z",0.54424,-0.87768
"167.77_255.4248m/z",0.54433,-0.87744
"74.12_620.2915m/z",0.5447,-0.87648
"49.6_386.2907m/z",1.8358,0.87643
"LPA(22:6/0:0)",0.54489,-0.87596
"347.43_717.5257m/z",0.54537,-0.87469
"451.46_537.4419m/z",0.54623,-0.87243
"593.82_755.6959m/z",1.8295,0.87143
"409.14_1148.4938m/z",0.54785,-0.86814
"Glycerol",0.54799,-0.86779
"125.33_540.3661m/z",0.54799,-0.86777
"409.14_1028.5357m/z",0.54828,-0.86701
"451.23_536.4381m/z",0.54934,-0.86423
"546.82_762.6618m/z",1.8202,0.86409
"409.6_1625.2332m/z",0.5497,-0.86328
"603.17_523.472m/z",1.8177,0.86213
"546.59_763.665m/z",1.8161,0.86086
"409.14_873.6304m/z",0.55072,-0.86061
"347.43_716.5226m/z",0.55196,-0.85738
"632.03_816.7125m/z",1.8111,0.85689
"184.31_507.3506m/z",0.55215,-0.85686
"163.21_305.248m/z",0.55225,-0.8566
"125.33_538.351m/z",0.55298,-0.8547
"338.76_740.5235m/z",0.55307,-0.85447
"681.88_946.8816m/z",1.8066,0.85331
"112.68_992.678m/z",0.55352,-0.85329
"PE(O-16:1/22:5) and/or PE(P-16:0/22:5)",0.55362,-0.85303
"408.91_857.6103m/z",0.5539,-0.85231
"606.7_798.7379m/z",1.8049,0.85188
"504.95_960.7413m/z",0.55426,-0.85137
"616.06_808.7402m/z",1.8033,0.8506
"347.43_776.5445m/z",0.55478,-0.85002
"346.52_1613.1395m/z",1.8025,0.84999
"112.68_991.6746m/z",0.55624,-0.84621
"81.87_430.2114m/z",0.55626,-0.84616
"569.41_770.6389m/z",1.7977,0.84612
"541.23_715.5856m/z",1.7974,0.84594
"566.67_765.6802m/z",1.7951,0.8441
"288.91_832.5055m/z",0.55708,-0.84406
"Eicosatrienoic acid FA(20:3)",0.55741,-0.84318
"417.81_768.5543m/z",0.55742,-0.84316
"409.14_1127.5151m/z",0.55743,-0.84315
"295.98_557.4571m/z",0.558,-0.84166
"149.06_304.2358m/z",0.55865,-0.83998
"646.63_563.5046m/z",1.79,0.83994
"167.77_100.9331m/z",0.5589,-0.83933
"377.88_870.6119m/z",0.55891,-0.8393
"458.53_1843.2808m/z",0.55914,-0.83872
"561.42_789.6786m/z",1.7875,0.83797
"631.8_812.7626m/z",1.786,0.83674
"396.13_1005.5411m/z",0.56009,-0.83627
"184.31_605.3271m/z",0.56014,-0.83613
"386.55_748.5278m/z",0.56022,-0.83592
"588.34_493.4247m/z",1.785,0.83589
"566.67_786.6223m/z",1.7841,0.83521
"Eicosatetraenoic acid FA(20:4)",0.56157,-0.83247
"566.67_764.6779m/z",1.7802,0.83204
"LPI(0:0/18:0)",0.56214,-0.831
"339.44_888.5683m/z",0.56218,-0.83089
"149.06_303.2323m/z",0.56246,-0.83017
"171.65_695.3594m/z",0.56257,-0.8299
"603.86_789.6374m/z",1.777,0.82944
"397.05_1791.1306m/z",0.56318,-0.82833
"379.02_915.5947m/z",0.56322,-0.82822
"364.88_764.5231m/z",0.56355,-0.82738
"339.67_890.5747m/z",0.56365,-0.82712
"591.54_664.523m/z",0.56393,-0.82641
"112.45_595.3017m/z",0.56503,-0.82361
"298.27_402.349m/z",1.7697,0.82352
"TG(47:1)",1.768,0.82214
"339.44_889.5717m/z",0.56619,-0.82063
"112.68_993.681m/z",0.56644,-0.82001
"339.44_887.5646m/z",0.5666,-0.8196
"633.63_398.3867m/z",1.7635,0.81847
"577.85_778.6893m/z",1.7624,0.81754
"L5TG",0.5677,-0.81681
"616.06_809.7438m/z",1.7605,0.81595
"528.46_989.7759m/z",0.56811,-0.81576
"64.08_509.3356m/z",1.7591,0.81484
"609.67_605.5459m/z",1.7571,0.81321
"409.14_796.5853m/z",0.56926,-0.81284
"111.99_100.933m/z",0.56945,-0.81236
"409.14_1126.5117m/z",0.56963,-0.81191
"LPG(18:0/0:0)",0.56972,-0.81168
"LPI(0:0/20:4)",0.57015,-0.81058
"383.58_789.6119m/z",0.57062,-0.80939
"616.06_814.6965m/z",1.7514,0.80852
"392.26_754.6506m/z",1.7513,0.80846
"679.82_869.7949m/z",1.751,0.8082
"81.87_429.2036m/z",0.57125,-0.80782
"LPG(18:1/0:0)",0.57127,-0.80775
"616.06_815.6996m/z",1.749,0.80652
"171.65_638.3093m/z",0.57186,-0.80627
"409.14_1007.5576m/z",0.57228,-0.80522
"81.87_453.2038m/z",0.57258,-0.80446
"176.9_100.933m/z",0.57264,-0.8043
"409.37_909.5811m/z",0.57278,-0.80396
"409.14_908.578m/z",0.57297,-0.80347
"133.32_566.3821m/z",0.57376,-0.80149
"565.53_892.739m/z",1.7426,0.80126
"339.22_814.5591m/z",0.57392,-0.80107
"PE(18:0/20:3)",0.57409,-0.80064
"160.7_350.2481m/z",0.5743,-0.80012
"409.37_1246.4706m/z",0.57459,-0.7994
"298.27_401.3418m/z",1.7403,0.79935
"581.27_804.7083m/z",1.74,0.79905
"409.14_871.6256m/z",0.57507,-0.79818
"Delta-Tocopherol",1.7388,0.79807
"541.92_736.6457m/z",1.7379,0.79731
"151.57_280.2357m/z",0.57552,-0.79706
"632.03_811.7593m/z",1.736,0.79579
"589.26_933.8228m/z",1.7359,0.79564
"317.31_831.502m/z",0.57617,-0.79545
"341.72_881.5267m/z",0.57625,-0.79524
"81.87_437.2095m/z",0.5765,-0.79461
"81.87_415.2233m/z",0.57684,-0.79375
"111.99_1088.6357m/z",0.57686,-0.79372
"384.5_843.5943m/z",0.57698,-0.7934
"409.14_797.5888m/z",0.57739,-0.79238
"541.92_793.6667m/z",1.7314,0.7919
"408.68_870.6213m/z",0.57759,-0.79188
"111.99_1186.6124m/z",0.57773,-0.79153
"369.21_365.2177m/z",0.578,-0.79085
"286.4_383.3604m/z",1.73,0.79074
"632.03_810.7561m/z",1.7292,0.79008
"680.97_921.8664m/z",1.7286,0.78959
"352.79_400.7902m/z",1.7282,0.78926
"565.76_815.6953m/z",1.7278,0.78892
"394.77_132.9229m/z",0.57924,-0.78777
"LPI(20:4/0:0)",0.57956,-0.78698
"623.13_819.6736m/z",1.7254,0.78694
"LPA(16:0/0:0)",0.57996,-0.78597
"615.83_813.6955m/z",1.7221,0.7842
"111.99_1049.677m/z",0.58095,-0.78351
"234.73_311.2951m/z",1.72,0.78243
"74.12_619.2882m/z",0.5816,-0.7819
"278.87_1387.9466m/z",0.58184,-0.7813
"210.32_593.4781m/z",0.58203,-0.78083
"90.09_590.2857m/z",0.58205,-0.7808
"151.57_361.2355m/z",0.5821,-0.78067
"412.33_932.5778m/z",0.5821,-0.78066
"123.28_586.3509m/z",0.58262,-0.77938
"339.21_815.5629m/z",0.58286,-0.77878
"680.97_920.8661m/z",1.7155,0.77865
"409.14_910.5844m/z",0.58306,-0.77829
"168.45_446.335m/z",0.58327,-0.77777
"386.55_846.5046m/z",0.58333,-0.77761
"317.54_832.5057m/z",0.58349,-0.77722
"151.34_468.3059m/z",0.58367,-0.77677
"461.5_417.3688m/z",1.7132,0.77673
"588.34_495.4402m/z",1.7125,0.77607
"345.6_827.5591m/z",0.58411,-0.7757
"412.79_934.5894m/z",0.5844,-0.77497
"423.85_870.6217m/z",0.58475,-0.77411
"389.86_159.9757m/z",0.58519,-0.77302
"269.75_714.5066m/z",0.58534,-0.77266
"537.36_544.5m/z",0.5856,-0.772
"Octadecatrienoic acid FA(18:3)_2",0.58575,-0.77164
"584.46_642.5345m/z",0.58591,-0.77125
"TG(44:2)",1.7059,0.77057
"407.09_420.8069m/z",1.7046,0.76945
"229.25_419.3523m/z",1.7044,0.7693
"315.94_859.5335m/z",0.58683,-0.76897
"81.87_460.2538m/z",0.58689,-0.76885
"655.99_942.8492m/z",1.7037,0.76868
"81.87_418.2437m/z",0.58744,-0.7675
"347.88_1465.1087m/z",0.58761,-0.76708
"328.72_1749.106m/z",0.58783,-0.76653
"381.53_841.5567m/z",0.588,-0.76611
"599.07_812.6819m/z",1.7001,0.76564
"Hexadecadienoic acid FA(16:2)",0.58833,-0.76529
"67.27_430.2116m/z",0.58868,-0.76445
"480.66_448.8274m/z",1.6964,0.76251
"H1CH",0.5895,-0.76243
"254.46_650.4759m/z",1.6951,0.76134
"566.67_769.6327m/z",1.6948,0.76112
