"",F.stat,p.value,-log10(p),FDR
620.62_860.7718m/z,0.8183,0.4463,0.35038,0.78008
279.56_807.5023m/z,0.81825,0.44632,0.35036,0.78008
PE(O-16:1/20:4) and/or PE(P-16:0/20:4),0.81809,0.44639,0.35029,0.78008
357.7_1538.1203m/z,0.81791,0.44646,0.35021,0.78008
303.17_501.4861m/z,0.8179,0.44647,0.35021,0.78008
442.33_614.5865m/z,0.81772,0.44655,0.35013,0.78008
416.9_820.607m/z,0.81762,0.44659,0.35009,0.78008
402.07_404.3191m/z,0.81706,0.44683,0.34985,0.78036
PC(16:0/17:0),0.81671,0.44698,0.34971,0.78048
368.53_744.6095m/z,0.81645,0.4471,0.3496,0.78053
160.47_480.3223m/z,0.81617,0.44722,0.34948,0.7806
435.72_606.5556m/z,0.81562,0.44746,0.34925,0.78074
633.63_913.8066m/z,0.8156,0.44747,0.34924,0.78074
277.5_649.516m/z,0.81531,0.4476,0.34911,0.78081
644.81_1143.6445m/z,0.81493,0.44776,0.34896,0.78092
608.99_828.7059m/z,0.81478,0.44783,0.34889,0.78092
580.81_890.68m/z,0.81444,0.44798,0.34875,0.78099
594.5_829.7202m/z,0.81422,0.44807,0.34866,0.78099
431.15_770.6251m/z,0.81411,0.44812,0.34861,0.78099
79.14_480.2267m/z,0.81358,0.44835,0.34838,0.78114
LPI(16:1/0:0),0.81352,0.44837,0.34836,0.78114
PI(16:0/16:0),0.81235,0.44889,0.34786,0.78161
305.22_408.3369m/z,0.81231,0.4489,0.34785,0.78161
LPC(20:5/0:0),0.81208,0.449,0.34775,0.78161
418.5_770.6034m/z,0.81177,0.44914,0.34762,0.78161
326.67_911.5559m/z,0.81174,0.44915,0.34761,0.78161
405.94_865.5191m/z,0.81172,0.44916,0.3476,0.78161
270.2_579.4374m/z,0.81131,0.44934,0.34743,0.78161
645.04_575.5045m/z,0.81123,0.44937,0.34739,0.78161
133.55_383.3311m/z,0.81095,0.4495,0.34727,0.78161
500.62_572.5768m/z,0.81077,0.44958,0.3472,0.78161
120.89_259.16m/z,0.81041,0.44973,0.34704,0.78161
304.76_445.3677m/z,0.81016,0.44984,0.34694,0.78161
Proline,0.80989,0.44996,0.34682,0.78161
415.99_613.4827m/z,0.80988,0.44996,0.34682,0.78161
646.63_630.5544m/z,0.80979,0.45001,0.34678,0.78161
573.29_944.7636m/z,0.80949,0.45014,0.34666,0.78161
331.91_411.7849m/z,0.80884,0.45042,0.34638,0.78161
366.7_100.933m/z,0.80848,0.45058,0.34623,0.78161
541.92_737.6484m/z,0.80838,0.45062,0.34619,0.78161
408.68_742.574m/z,0.80778,0.45089,0.34593,0.78161
637.96_871.7739m/z,0.80769,0.45093,0.34589,0.78161
346.29_115.9202m/z,0.80754,0.45099,0.34583,0.78161
133.55_363.3064m/z,0.80751,0.451,0.34582,0.78161
627.24_552.5068m/z,0.80745,0.45103,0.3458,0.78161
V2TG,0.80741,0.45105,0.34578,0.78161
471.54_924.6634m/z,0.80732,0.45109,0.34574,0.78161
335.34_688.5475m/z,0.80706,0.4512,0.34563,0.78161
660.78_927.7696m/z,0.80699,0.45123,0.3456,0.78161
353.36_382.2745m/z,0.80684,0.4513,0.34554,0.78161
379.94_861.623m/z,0.80672,0.45135,0.34549,0.78161
500.39_624.57m/z,0.80671,0.45135,0.34548,0.78161
573.29_874.7332m/z,0.80653,0.45143,0.34541,0.78161
648.46_933.7905m/z,0.80641,0.45148,0.34536,0.78161
471.08_826.677m/z,0.80636,0.45151,0.34533,0.78161
353.36_758.578m/z,0.80613,0.45161,0.34524,0.78164
376.74_831.5917m/z,0.80543,0.45192,0.34494,0.78199
392.48_749.5895m/z,0.80525,0.45199,0.34487,0.78199
412.56_896.6316m/z,0.8051,0.45206,0.3448,0.78199
644.81_1003.7243m/z,0.80435,0.45239,0.34448,0.78238
421.46_396.7978m/z,0.80409,0.45251,0.34437,0.78238
354.96_832.5873m/z,0.80389,0.45259,0.34429,0.78238
469.48_586.3256m/z,0.8038,0.45263,0.34426,0.78238
251.49_413.8009m/z,0.80363,0.45271,0.34418,0.78238
387.01_723.5156m/z,0.80222,0.45333,0.34359,0.78274
646.86_887.7998m/z,0.80218,0.45335,0.34357,0.78274
218.07_324.3269m/z,0.80213,0.45337,0.34355,0.78274
72.06_584.2618m/z,0.80191,0.45347,0.34345,0.78274
126.02_498.3462m/z,0.80173,0.45355,0.34338,0.78274
469.71_872.6938m/z,0.80172,0.45355,0.34337,0.78274
315.03_423.1604m/z,0.80166,0.45357,0.34335,0.78274
443.7_543.441m/z,0.80145,0.45367,0.34326,0.78274
632.03_605.5442m/z,0.80143,0.45368,0.34325,0.78274
210.54_381.3148m/z,0.80103,0.45385,0.34308,0.7829
387.92_760.4589m/z,0.80069,0.454,0.34294,0.78301
382.45_773.5301m/z,0.80035,0.45416,0.3428,0.78302
LDFC,0.80006,0.45428,0.34267,0.78302
72.06_586.2733m/z,0.79993,0.45434,0.34262,0.78302
627.47_813.7334m/z,0.7999,0.45435,0.3426,0.78302
326.9_1042.4599m/z,0.79954,0.45451,0.34245,0.78302
341.5_551.4202m/z,0.79954,0.45451,0.34245,0.78302
306.59_796.5487m/z,0.79921,0.45466,0.34232,0.78311
425.45_784.6406m/z,0.79903,0.45474,0.34224,0.78311
565.53_893.741m/z,0.79855,0.45495,0.34204,0.78329
577.85_923.7215m/z,0.79842,0.45501,0.34198,0.78329
366.02_776.4235m/z,0.79811,0.45515,0.34185,0.7833
277.51_277.2166m/z,0.79803,0.45518,0.34182,0.7833
616.52_1024.7047m/z,0.7975,0.45541,0.34159,0.78349
478.15_572.3101m/z,0.7974,0.45546,0.34155,0.78349
335.34_687.544m/z,0.79706,0.45561,0.34141,0.78358
335.11_800.5399m/z,0.79659,0.45582,0.34121,0.78358
335.11_799.5363m/z,0.79655,0.45584,0.34119,0.78358
329.17_1006.5108m/z,0.79643,0.45589,0.34114,0.78358
458.53_911.6525m/z,0.79633,0.45593,0.3411,0.78358
293.93_270.2433m/z,0.79577,0.45618,0.34086,0.78386
565.53_892.739m/z,0.79377,0.45707,0.34002,0.78524
DG(18:0/16:0),0.79332,0.45727,0.33983,0.78544
546.13_692.5693m/z,0.79261,0.45758,0.33953,0.78583
339.44_920.6798m/z,0.79229,0.45773,0.33939,0.78594
614.24_161.133m/z,0.79193,0.45789,0.33924,0.78606
376.97_546.3471m/z,0.79094,0.45833,0.33882,0.78657
581.73_843.7275m/z,0.79084,0.45837,0.33878,0.78657
77.99_1070.7652m/z,0.79051,0.45852,0.33864,0.78657
133.55_368.3398m/z,0.79042,0.45857,0.3386,0.78657
130.58_278.2202m/z,0.79022,0.45865,0.33852,0.78657
644.81_1255.5916m/z,0.79014,0.45869,0.33848,0.78657
SM(d18:2/18:0),0.78989,0.4588,0.33838,0.78661
644.81_963.7621m/z,0.78878,0.45929,0.33791,0.78731
458.53_1030.607m/z,0.78838,0.45948,0.33774,0.78742
442.9_629.606m/z,0.78755,0.45985,0.33739,0.78742
Carboxyheptadecenoylcarnitine CAR(18:1-DC),0.78732,0.45995,0.33729,0.78742
509.75_651.6483m/z,0.78731,0.45995,0.33729,0.78742
210.54_380.3079m/z,0.78718,0.46001,0.33723,0.78742
646.86_905.8297m/z,0.78716,0.46002,0.33722,0.78742
639.79_906.7626m/z,0.78713,0.46003,0.33721,0.78742
420.55_576.5714m/z,0.78712,0.46004,0.33721,0.78742
332.14_412.7897m/z,0.78633,0.46039,0.33687,0.78788
601.35_844.7404m/z,0.78593,0.46057,0.3367,0.78804
320.96_1250.7455m/z,0.78548,0.46077,0.33651,0.78814
270.43_531.441m/z,0.78543,0.4608,0.33649,0.78814
432.98_666.5205m/z,0.7852,0.4609,0.3364,0.78814
127.84_398.3174m/z,0.78505,0.46097,0.33633,0.78814
570.32_848.7166m/z,0.78459,0.46117,0.33614,0.78833
302.6_490.9086m/z,0.78441,0.46125,0.33606,0.78833
491.49_974.661m/z,0.78424,0.46133,0.33599,0.78833
458.99_824.6548m/z,0.78376,0.46154,0.33579,0.78855
269.75_340.2024m/z,0.78263,0.46205,0.33531,0.78904
SulfoHexCer(d18:1/18:0),0.78248,0.46212,0.33525,0.78904
509.06_707.6382m/z,0.782,0.46233,0.33504,0.78904
184.31_523.4304m/z,0.78182,0.46242,0.33496,0.78904
151.57_361.2355m/z,0.78164,0.4625,0.33489,0.78904
325.98_606.5449m/z,0.78155,0.46254,0.33485,0.78904
301.92_759.5652m/z,0.78134,0.46263,0.33476,0.78904
151.34_565.2824m/z,0.78127,0.46266,0.33474,0.78904
644.81_964.7653m/z,0.78126,0.46267,0.33473,0.78904
633.4_891.7448m/z,0.78123,0.46268,0.33472,0.78904
366.02_775.4144m/z,0.781,0.46279,0.33462,0.78908
483.63_525.4626m/z,0.78066,0.46294,0.33448,0.78919
400.92_893.6205m/z,0.78027,0.46311,0.33431,0.78923
496.26_874.7096m/z,0.78023,0.46313,0.33429,0.78923
409.37_714.5436m/z,0.77913,0.46363,0.33383,0.78993
287.09_569.454m/z,0.77894,0.46372,0.33375,0.78993
355.41_888.5682m/z,0.77841,0.46396,0.33352,0.79
427.05_1547.2514m/z,0.7784,0.46396,0.33352,0.79
326.67_865.5241m/z,0.77828,0.46401,0.33347,0.79
418.95_830.6276m/z,0.77809,0.4641,0.33339,0.79001
150.2_361.2882m/z,0.77756,0.46434,0.33317,0.79027
442.1_798.654m/z,0.77713,0.46453,0.33298,0.79044
428.87_576.5068m/z,0.77697,0.46461,0.33291,0.79044
638.19_893.7588m/z,0.77677,0.4647,0.33283,0.79044
231.76_297.2792m/z,0.77646,0.46484,0.3327,0.79054
353.82_381.2542m/z,0.77577,0.46515,0.33241,0.79065
LPC(O-16:0/0:0),0.77488,0.46555,0.33203,0.79065
359.07_1552.1573m/z,0.77478,0.46559,0.33199,0.79065
387.92_1525.185m/z,0.77431,0.46581,0.33179,0.79065
307.73_557.4568m/z,0.77398,0.46596,0.33165,0.79065
458.99_872.653m/z,0.77329,0.46627,0.33136,0.79065
335.33_689.5505m/z,0.77325,0.46629,0.33134,0.79065
430.47_1005.606m/z,0.77315,0.46634,0.3313,0.79065
458.53_910.6495m/z,0.77292,0.46644,0.3312,0.79065
138.34_341.3056m/z,0.77287,0.46646,0.33118,0.79065
169.14_460.3173m/z,0.77283,0.46648,0.33117,0.79065
471.77_825.6819m/z,0.77273,0.46653,0.33112,0.79065
421.23_396.2929m/z,0.77269,0.46654,0.33111,0.79065
633.86_287.274m/z,0.77243,0.46666,0.331,0.79065
373.09_719.5845m/z,0.77234,0.4667,0.33096,0.79065
485.56_579.5352m/z,0.77222,0.46676,0.33091,0.79065
424.77_813.622m/z,0.77197,0.46687,0.3308,0.79065
497.88_811.6818m/z,0.77166,0.46701,0.33067,0.79065
264.5_376.2757m/z,0.77153,0.46707,0.33062,0.79065
TPCH,0.7715,0.46708,0.33061,0.79065
421.46_397.3003m/z,0.7715,0.46709,0.3306,0.79065
355.87_1615.1543m/z,0.7715,0.46709,0.3306,0.79065
231.08_380.3064m/z,0.77149,0.46709,0.3306,0.79065
288.0_881.5172m/z,0.77147,0.4671,0.33059,0.79065
233.13_420.3588m/z,0.77147,0.4671,0.33059,0.79065
601.81_578.5227m/z,0.77126,0.4672,0.3305,0.79065
137.2_393.2618m/z,0.77115,0.46724,0.33046,0.79065
616.29_936.8033m/z,0.77106,0.46729,0.33042,0.79065
425.91_778.5761m/z,0.77087,0.46737,0.33034,0.79065
602.72_968.7227m/z,0.77059,0.4675,0.33022,0.79072
102.86_501.2811m/z,0.7702,0.46768,0.33005,0.79087
379.02_751.6119m/z,0.76991,0.46781,0.32993,0.79087
458.31_886.7474m/z,0.76966,0.46792,0.32983,0.79087
470.85_634.6367m/z,0.76948,0.46801,0.32975,0.79087
478.38_1137.5619m/z,0.76946,0.46802,0.32974,0.79087
431.61_883.6222m/z,0.76892,0.46826,0.32951,0.79114
264.5_380.3075m/z,0.76872,0.46835,0.32943,0.79114
388.15_1169.3366m/z,0.76853,0.46844,0.32935,0.79114
560.05_369.3513m/z,0.76837,0.46851,0.32928,0.79114
SM(d18:2/24:0),0.7675,0.46891,0.32891,0.79149
500.62_520.4729m/z,0.76747,0.46892,0.3289,0.79149
387.47_583.51m/z,0.76735,0.46898,0.32885,0.79149
309.55_678.563m/z,0.76683,0.46921,0.32863,0.79164
573.06_921.6993m/z,0.76678,0.46924,0.32861,0.79164
614.24_175.1485m/z,0.7665,0.46937,0.32849,0.79172
205.98_397.3321m/z,0.76586,0.46966,0.32822,0.79202
326.89_1171.4404m/z,0.76573,0.46972,0.32817,0.79202
620.62_861.7753m/z,0.76545,0.46985,0.32804,0.79204
288.0_907.5329m/z,0.76518,0.46997,0.32793,0.79204
409.6_864.6401m/z,0.76514,0.46999,0.32791,0.79204
437.54_417.369m/z,0.76459,0.47024,0.32768,0.79232
378.34_953.8426m/z,0.76428,0.47038,0.32755,0.79242
689.41_965.8527m/z,0.76406,0.47048,0.32746,0.79244
83.01_543.3281m/z,0.76361,0.47069,0.32727,0.79252
356.78_1613.0933m/z,0.76358,0.4707,0.32726,0.79252
365.9_1616.167m/z,0.76315,0.4709,0.32707,0.79271
126.02_482.3615m/z,0.76172,0.47156,0.32647,0.79368
356.1_1491.1261m/z,0.7612,0.47179,0.32625,0.7939
368.3_1076.4985m/z,0.76106,0.47186,0.32619,0.7939
616.74_1143.6598m/z,0.76041,0.47216,0.32592,0.79409
152.03_282.2799m/z,0.76019,0.47226,0.32582,0.79409
627.01_908.7805m/z,0.76018,0.47226,0.32582,0.79409
399.79_1531.2097m/z,0.76007,0.47231,0.32577,0.79409
159.33_508.3763m/z,0.75986,0.47241,0.32568,0.79411
446.67_774.654m/z,0.75948,0.47258,0.32552,0.79414
74.34_391.2846m/z,0.75914,0.47274,0.32537,0.79414
402.07_281.2846m/z,0.75882,0.47289,0.32524,0.79414
402.07_563.5542m/z,0.75863,0.47298,0.32516,0.79414
151.11_481.2991m/z,0.75861,0.47299,0.32515,0.79414
72.06_585.2695m/z,0.7585,0.47304,0.3251,0.79414
638.42_1013.7173m/z,0.75836,0.4731,0.32504,0.79414
72.06_599.2467m/z,0.75833,0.47312,0.32503,0.79414
298.27_401.3418m/z,0.75771,0.4734,0.32477,0.79441
426.82_810.6018m/z,0.75732,0.47358,0.32461,0.79441
599.98_903.7381m/z,0.75728,0.4736,0.32459,0.79441
388.15_761.802m/z,0.75725,0.47361,0.32457,0.79441
184.99_446.3385m/z,0.75699,0.47373,0.32447,0.79446
269.06_846.623m/z,0.75616,0.47411,0.32412,0.79449
LPC(P-18:0/0:0),0.75597,0.4742,0.32404,0.79449
689.41_961.9007m/z,0.75577,0.4743,0.32395,0.79449
618.57_855.6736m/z,0.75564,0.47436,0.32389,0.79449
357.47_1520.1519m/z,0.75515,0.47458,0.32369,0.79449
376.51_854.5909m/z,0.75491,0.4747,0.32359,0.79449
396.82_724.5278m/z,0.75487,0.47471,0.32357,0.79449
616.29_912.7966m/z,0.7548,0.47475,0.32354,0.79449
557.09_368.3398m/z,0.75438,0.47494,0.32336,0.79449
128.53_381.316m/z,0.75418,0.47503,0.32328,0.79449
118.84_396.3016m/z,0.75412,0.47506,0.32325,0.79449
451.23_798.6545m/z,0.75396,0.47513,0.32319,0.79449
375.6_372.7509m/z,0.75378,0.47522,0.32311,0.79449
378.34_839.5345m/z,0.75372,0.47525,0.32308,0.79449
646.63_863.791m/z,0.75366,0.47527,0.32306,0.79449
382.33_745.5945m/z,0.75323,0.47547,0.32287,0.79449
PI(16:0/20:4),0.75308,0.47554,0.32281,0.79449
350.62_805.6234m/z,0.75306,0.47555,0.3228,0.79449
SM(d18:1/24:0),0.75305,0.47555,0.3228,0.79449
584.69_928.7778m/z,0.75296,0.4756,0.32276,0.79449
353.59_716.5661m/z,0.7526,0.47576,0.32261,0.79449
342.41_798.5654m/z,0.75255,0.47579,0.32259,0.79449
581.04_869.743m/z,0.75242,0.47585,0.32253,0.79449
471.54_390.3732m/z,0.75235,0.47588,0.3225,0.79449
320.28_518.4932m/z,0.75224,0.47593,0.32246,0.79449
646.98_903.7167m/z,0.75214,0.47598,0.32241,0.79449
180.32_552.4032m/z,0.75168,0.47619,0.32222,0.79471
54.62_734.5078m/z,0.75129,0.47637,0.32205,0.79487
431.38_881.6156m/z,0.75084,0.47658,0.32186,0.795
133.55_506.3605m/z,0.75061,0.47669,0.32176,0.795
383.81_116.9274m/z,0.75054,0.47672,0.32174,0.795
340.13_627.534m/z,0.75036,0.4768,0.32166,0.795
Octadecatrienoic acid FA(18:3)_1,0.75012,0.47691,0.32156,0.795
326.67_583.3251m/z,0.74985,0.47704,0.32145,0.795
627.24_863.7883m/z,0.74983,0.47705,0.32144,0.795
638.19_890.8103m/z,0.74899,0.47744,0.32108,0.79502
PI(34:2),0.74897,0.47745,0.32107,0.79502
496.52_818.7113m/z,0.74893,0.47747,0.32106,0.79502
378.34_791.6179m/z,0.7488,0.47753,0.321,0.79502
638.19_894.7623m/z,0.74829,0.47777,0.32079,0.79502
294.85_298.2748m/z,0.74803,0.47789,0.32067,0.79502
83.01_269.1454m/z,0.74783,0.47798,0.32059,0.79502
478.61_437.1761m/z,0.74775,0.47802,0.32056,0.79502
326.21_600.5097m/z,0.74774,0.47802,0.32055,0.79502
301.92_761.5713m/z,0.74767,0.47805,0.32052,0.79502
330.77_830.571m/z,0.74756,0.47811,0.32048,0.79502
496.52_816.0433m/z,0.74734,0.47821,0.32038,0.79502
PE(18:0/18:2),0.74707,0.47833,0.32027,0.79502
374.23_404.2897m/z,0.74697,0.47838,0.32023,0.79502
458.53_909.6464m/z,0.74689,0.47842,0.32019,0.79502
366.7_821.5907m/z,0.74685,0.47844,0.32018,0.79502
150.43_458.2511m/z,0.74627,0.47871,0.31993,0.79533
130.58_277.2168m/z,0.74591,0.47887,0.31978,0.79539
387.69_484.2836m/z,0.74568,0.47898,0.31968,0.79539
371.72_904.5469m/z,0.74564,0.479,0.31966,0.79539
345.6_903.5345m/z,0.74486,0.47936,0.31933,0.79586
81.87_418.2437m/z,0.74453,0.47952,0.31919,0.79594
496.28_115.9201m/z,0.74438,0.47959,0.31913,0.79594
489.44_905.7191m/z,0.74394,0.47979,0.31895,0.79598
72.06_583.2503m/z,0.74384,0.47984,0.3189,0.79598
133.55_601.37m/z,0.74378,0.47987,0.31888,0.79598
460.81_771.6651m/z,0.74307,0.4802,0.31857,0.79639
288.91_834.5216m/z,0.74257,0.48044,0.31836,0.79647
125.33_540.3661m/z,0.74253,0.48045,0.31835,0.79647
V2PL,0.74242,0.48051,0.3183,0.79647
289.6_858.5216m/z,0.74131,0.48103,0.31783,0.79706
315.03_788.5436m/z,0.74107,0.48114,0.31773,0.79706
302.6_520.5m/z,0.74088,0.48123,0.31765,0.79706
406.4_742.5385m/z,0.74081,0.48126,0.31762,0.79706
614.24_273.2585m/z,0.74074,0.48129,0.31759,0.79706
77.99_398.3138m/z,0.74044,0.48144,0.31746,0.7971
435.72_748.5772m/z,0.74033,0.48149,0.31742,0.7971
359.52_792.5907m/z,0.74011,0.48159,0.31732,0.79712
471.54_847.6888m/z,0.73967,0.4818,0.31714,0.79732
517.51_648.6291m/z,0.73909,0.48207,0.31689,0.79763
395.0_814.5388m/z,0.73891,0.48215,0.31681,0.79763
294.62_689.5235m/z,0.73855,0.48232,0.31666,0.79777
213.06_649.5149m/z,0.73813,0.48252,0.31648,0.79796
L5FC,0.73781,0.48267,0.31635,0.79806
335.34_1565.1388m/z,0.73712,0.483,0.31606,0.79825
500.39_704.6656m/z,0.73703,0.48304,0.31602,0.79825
289.6_859.5246m/z,0.73702,0.48304,0.31602,0.79825
433.89_823.6413m/z,0.73662,0.48323,0.31585,0.79842
478.15_573.3136m/z,0.7363,0.48338,0.31571,0.79852
288.68_830.4903m/z,0.73586,0.48359,0.31552,0.79857
491.72_910.6906m/z,0.7358,0.48362,0.3155,0.79857
329.18_377.7698m/z,0.7357,0.48366,0.31546,0.79857
354.05_885.5489m/z,0.7351,0.48394,0.3152,0.79889
470.39_311.168m/z,0.73394,0.4845,0.31471,0.79948
82.79_258.1534m/z,0.73382,0.48455,0.31466,0.79948
406.4_743.5418m/z,0.73363,0.48464,0.31458,0.79948
355.19_904.5465m/z,0.7333,0.4848,0.31444,0.79948
428.42_1603.2534m/z,0.73323,0.48483,0.31441,0.79948
326.67_943.6038m/z,0.73303,0.48493,0.31433,0.79948
371.72_1002.5214m/z,0.73301,0.48494,0.31432,0.79948
386.1_1553.1769m/z,0.73279,0.48504,0.31422,0.79948
647.55_931.8483m/z,0.73269,0.48508,0.31418,0.79948
366.25_746.5122m/z,0.7324,0.48522,0.31406,0.79948
325.98_801.5851m/z,0.73234,0.48525,0.31403,0.79948
676.17_959.885m/z,0.73193,0.48545,0.31386,0.79966
Histidine,0.73172,0.48555,0.31377,0.79968
427.05_796.5238m/z,0.73125,0.48577,0.31357,0.79979
435.72_605.5513m/z,0.73119,0.48579,0.31355,0.79979
469.71_871.6904m/z,0.73103,0.48587,0.31348,0.79979
435.72_746.5706m/z,0.73058,0.48609,0.31329,0.79992
458.53_871.6901m/z,0.7305,0.48612,0.31325,0.79992
325.3_409.3467m/z,0.73027,0.48623,0.31316,0.79996
69.32_451.3059m/z,0.72954,0.48658,0.31285,0.80002
269.52_601.4795m/z,0.72947,0.48661,0.31282,0.80002
417.58_639.4974m/z,0.72933,0.48668,0.31276,0.80002
328.95_1774.1082m/z,0.72921,0.48673,0.31271,0.80002
382.22_744.5912m/z,0.72909,0.48679,0.31266,0.80002
356.56_820.5826m/z,0.72907,0.4868,0.31265,0.80002
478.38_474.3347m/z,0.72893,0.48687,0.31259,0.80002
358.15_1477.1661m/z,0.72773,0.48744,0.31208,0.80074
357.24_782.7856m/z,0.72764,0.48748,0.31204,0.80074
611.5_847.6303m/z,0.72622,0.48816,0.31144,0.80148
152.71_516.3788m/z,0.72591,0.4883,0.31131,0.80148
578.99_948.718m/z,0.72579,0.48836,0.31126,0.80148
136.06_376.2612m/z,0.72551,0.48849,0.31114,0.80148
533.25_630.6187m/z,0.72538,0.48856,0.31108,0.80148
644.81_898.7374m/z,0.72533,0.48858,0.31107,0.80148
509.06_666.6379m/z,0.72517,0.48865,0.311,0.80148
627.24_929.7592m/z,0.72495,0.48876,0.3109,0.80148
375.37_878.5936m/z,0.72489,0.48879,0.31088,0.80148
288.0_882.5222m/z,0.72466,0.4889,0.31078,0.80148
400.93_761.5901m/z,0.7246,0.48893,0.31076,0.80148
246.25_383.3297m/z,0.72451,0.48897,0.31072,0.80148
557.09_823.6726m/z,0.72401,0.48921,0.31051,0.80173
Dodecenoylcarnitine CAR(12:1)_2,0.72382,0.4893,0.31043,0.80174
677.09_989.8532m/z,0.7228,0.48979,0.30999,0.8024
632.71_907.7661m/z,0.72176,0.49028,0.30955,0.80264
587.2_953.7899m/z,0.72167,0.49033,0.30951,0.80264
99.44_812.2553m/z,0.72154,0.49039,0.30946,0.80264
360.66_705.5896m/z,0.72154,0.49039,0.30946,0.80264
398.42_1536.1898m/z,0.72151,0.4904,0.30945,0.80264
541.92_793.6667m/z,0.72136,0.49047,0.30938,0.80264
397.28_1790.1239m/z,0.72074,0.49077,0.30912,0.80264
373.78_625.5202m/z,0.72067,0.49081,0.30909,0.80264
632.49_905.7592m/z,0.7206,0.49084,0.30906,0.80264
471.77_606.6167m/z,0.72042,0.49092,0.30899,0.80264
128.76_295.1904m/z,0.72035,0.49096,0.30896,0.80264
294.85_494.4844m/z,0.71974,0.49125,0.3087,0.80264
TBPN,0.71911,0.49155,0.30843,0.80264
326.67_910.5524m/z,0.71908,0.49157,0.30842,0.80264
304.99_407.3318m/z,0.71901,0.4916,0.30839,0.80264
TPAB,0.71899,0.49161,0.30838,0.80264
288.0_879.5017m/z,0.71893,0.49164,0.30835,0.80264
639.56_974.7694m/z,0.71877,0.49171,0.30829,0.80264
62.48_1187.8294m/z,0.71856,0.49182,0.3082,0.80264
599.98_901.7277m/z,0.7184,0.49189,0.30813,0.80264
478.38_1257.521m/z,0.71835,0.49191,0.30811,0.80264
458.53_873.697m/z,0.71821,0.49198,0.30805,0.80264
198.0_516.3786m/z,0.71817,0.492,0.30803,0.80264
355.87_1515.127m/z,0.71811,0.49203,0.30801,0.80264
347.66_828.5161m/z,0.71784,0.49216,0.30789,0.80264
362.03_776.5525m/z,0.71779,0.49219,0.30787,0.80264
646.63_906.8339m/z,0.71729,0.49242,0.30766,0.80287
356.79_1586.1213m/z,0.71703,0.49255,0.30755,0.80287
458.3_874.6947m/z,0.71696,0.49258,0.30752,0.80287
458.53_872.6937m/z,0.7164,0.49285,0.30728,0.80305
TG(54:7)_1,0.71631,0.49289,0.30725,0.80305
594.5_845.7439m/z,0.71614,0.49298,0.30717,0.80305
347.43_716.5226m/z,0.716,0.49304,0.30711,0.80305
496.52_615.6261m/z,0.7158,0.49314,0.30703,0.80305
613.78_896.6869m/z,0.71565,0.49322,0.30696,0.80305
81.87_459.2508m/z,0.71504,0.49351,0.3067,0.80323
495.37_828.6863m/z,0.71493,0.49356,0.30666,0.80323
525.95_639.6478m/z,0.71466,0.49369,0.30655,0.80323
200.73_650.5183m/z,0.71455,0.49374,0.3065,0.80323
131.04_276.208m/z,0.71452,0.49376,0.30649,0.80323
424.77_812.6186m/z,0.714,0.49401,0.30626,0.8035
150.2_363.3041m/z,0.7133,0.49434,0.30597,0.80365
599.98_902.7311m/z,0.71313,0.49443,0.3059,0.80365
632.26_815.711m/z,0.7131,0.49444,0.30589,0.80365
315.94_733.5481m/z,0.71308,0.49445,0.30588,0.80365
352.68_928.5464m/z,0.71263,0.49467,0.30569,0.80371
NAPE(O-18:1/18:1/16:0) and/or NAPE(P-18:0/18:1/16:0),0.71249,0.49473,0.30563,0.80371
306.59_720.5183m/z,0.71223,0.49486,0.30552,0.80371
253.32_568.4279m/z,0.71217,0.49489,0.30549,0.80371
358.15_1476.1626m/z,0.71212,0.49492,0.30547,0.80371
83.01_559.323m/z,0.71157,0.49518,0.30524,0.80384
491.49_937.7057m/z,0.71146,0.49523,0.30519,0.80384
460.13_791.6813m/z,0.71134,0.49529,0.30514,0.80384
133.55_367.3364m/z,0.71123,0.49534,0.30509,0.80384
492.86_874.6688m/z,0.71052,0.49569,0.30479,0.80405
377.43_765.561m/z,0.70996,0.49596,0.30456,0.80405
TPA1,0.70991,0.49598,0.30453,0.80405
77.31_372.3114m/z,0.70983,0.49602,0.3045,0.80405
366.48_739.5094m/z,0.70981,0.49603,0.30449,0.80405
575.8_641.528m/z,0.70979,0.49604,0.30448,0.80405
462.64_902.7011m/z,0.70971,0.49608,0.30445,0.80405
TG(51:3),0.70946,0.4962,0.30434,0.80411
TG(54:5)_1,0.70864,0.4966,0.304,0.80461
381.53_768.9236m/z,0.70832,0.49675,0.30386,0.80472
389.06_818.6097m/z,0.70727,0.49726,0.30341,0.80541
346.52_731.5972m/z,0.70607,0.49784,0.30291,0.80621
LPC(20:0/0:0),0.70531,0.49822,0.30258,0.80624
426.59_849.524m/z,0.70494,0.49839,0.30243,0.80624
420.78_578.5782m/z,0.70483,0.49845,0.30238,0.80624
387.24_859.5559m/z,0.70473,0.4985,0.30234,0.80624
676.17_963.8372m/z,0.70451,0.49861,0.30224,0.80624
632.49_599.5038m/z,0.70442,0.49865,0.30221,0.80624
PC(O-16:0/20:3),0.70424,0.49874,0.30213,0.80624
347.2_792.5631m/z,0.70403,0.49884,0.30204,0.80624
498.34_542.4776m/z,0.70392,0.49889,0.302,0.80624
347.88_1465.1087m/z,0.7038,0.49895,0.30194,0.80624
118.84_413.3081m/z,0.70362,0.49904,0.30187,0.80624
309.55_677.5596m/z,0.70341,0.49914,0.30178,0.80624
